"2,6 xylidine"
"Upper Wavelength=","4000","Lower Wavelength=","400","Wavelength Steps=","683","resolution","0.3134796"
"4000","6.6"
"3992.4","6.6"
"3984.8","6.9"
"3977.2","7.2"
"3969.6","7.2"
"3962","7.2"
"3954.4","7.2"
"3946.8","7.2"
"3939.2","7.5"
"3931.6","7.8"
"3924","7.8"
"3916.4","7.8"
"3908.7","7.8"
"3901.1","7.8"
"3893.5","8.2"
"3885.9","8.2"
"3878.3","8.5"
"3870.7","8.5"
"3863.1","8.5"
"3855.5","8.5"
"3847.9","8.2"
"3840.3","7.8"
"3832.7","7.2"
"3825.1","6.9"
"3817.5","6.6"
"3809.9","6.6"
"3802.3","6.6"
"3794.7","6.6"
"3787.1","6.9"
"3779.5","6.9"
"3771.9","6.9"
"3764.3","6.9"
"3756.7","7.2"
"3749","7.2"
"3741.4","7.2"
"3733.8","7.2"
"3726.2","6.9"
"3718.6","6.9"
"3711","6.9"
"3703.4","6.9"
"3695.8","7.2"
"3688.2","7.2"
"3680.6","7.5"
"3673","7.5"
"3665.4","7.8"
"3657.8","8.2"
"3650.2","8.5"
"3642.6","8.5"
"3635","8.5"
"3627.4","8.5"
"3619.8","8.5"
"3612.2","8.5"
"3604.6","8.8"
"3597","9.1"
"3589.4","9.1"
"3581.7","9.4"
"3574.1","9.7"
"3566.5","10"
"3558.9","10.7"
"3551.3","11"
"3543.7","11.9"
"3536.1","13.2"
"3528.5","14.7"
"3520.9","17.9"
"3513.3","23.2"
"3505.7","32"
"3498.1","42.3"
"3490.5","50.8"
"3482.9","53.3"
"3475.3","53.3"
"3467.7","52.7"
"3460.1","51.1"
"3452.5","48"
"3444.9","44.5"
"3437.3","40.8"
"3429.7","37.3"
"3422.1","40.4"
"3414.4","52.4"
"3406.8","63"
"3399.2","67.1"
"3391.6","67.4"
"3384","66.8"
"3376.4","64.3"
"3368.8","61.1"
"3361.2","55.5"
"3353.6","48"
"3346","40.4"
"3338.4","34.2"
"3330.8","28.5"
"3323.2","24.8"
"3315.6","21.9"
"3308","20.1"
"3300.4","18.8"
"3292.8","17.9"
"3285.2","17.6"
"3277.6","17.9"
"3270","18.8"
"3262.4","19.7"
"3254.8","20.7"
"3247.1","21"
"3239.5","21.3"
"3231.9","21.6"
"3224.3","21.9"
"3216.7","21.9"
"3209.1","21.6"
"3201.5","20.7"
"3193.9","17.9"
"3186.3","15.7"
"3178.7","14.1"
"3171.1","13.2"
"3163.5","12.9"
"3155.9","12.9"
"3148.3","12.9"
"3140.7","12.9"
"3133.1","13.2"
"3125.5","13.8"
"3117.9","14.1"
"3110.3","15.4"
"3102.7","17.2"
"3095.1","23.5"
"3087.5","32"
"3079.8","34.5"
"3072.2","32.9"
"3064.6","34.8"
"3057","46.4"
"3049.4","47"
"3041.8","48.6"
"3034.2","54.5"
"3026.6","56.7"
"3019","54.9"
"3011.4","42.6"
"3003.8","35.4"
"2996.2","33.9"
"2988.6","50.5"
"2981","59.6"
"2973.4","61.4"
"2965.8","60.5"
"2958.2","49.5"
"2950.6","46.1"
"2943","60.2"
"2935.4","64.6"
"2927.8","66.5"
"2920.2","67.7"
"2912.5","66.5"
"2904.9","63.6"
"2897.3","62.7"
"2889.7","55.5"
"2882.1","46.7"
"2874.5","48.3"
"2866.9","54.2"
"2859.3","69.9"
"2851.7","69.3"
"2844.1","44.2"
"2836.5","25.1"
"2828.9","20.1"
"2821.3","18.8"
"2813.7","17.6"
"2806.1","14.4"
"2798.5","12.2"
"2790.9","11"
"2783.3","10.3"
"2775.7","10.7"
"2768.1","11"
"2760.5","11.6"
"2752.9","12.9"
"2745.2","18.5"
"2737.6","22.9"
"2730","20.4"
"2722.4","12.5"
"2714.8","10.7"
"2707.2","10.7"
"2699.6","10.7"
"2692","10.3"
"2684.4","8.8"
"2676.8","8.2"
"2669.2","7.8"
"2661.6","8.2"
"2654","8.5"
"2646.4","10.7"
"2638.8","14.1"
"2631.2","14.1"
"2623.6","11.6"
"2616","9.7"
"2608.4","8.5"
"2600.8","8.2"
"2593.2","8.5"
"2585.6","8.5"
"2577.9","8.2"
"2570.3","8.2"
"2562.7","8.2"
"2555.1","8.2"
"2547.5","8.5"
"2539.9","8.2"
"2532.3","7.2"
"2524.7","6.9"
"2517.1","7.2"
"2509.5","7.2"
"2501.9","7.5"
