"3,3dimethyl2butanone"
"Upper Wavelength=","4000","Lower Wavelength=","400","Wavelength Steps=","682","resolution","0.3174603"
"4000","8.3"
"3992.4","8.3"
"3984.7","8.3"
"3977.1","8.3"
"3969.5","8.3"
"3961.8","8.3"
"3954.2","8.3"
"3946.6","7.9"
"3938.9","8.3"
"3931.3","8.6"
"3923.7","8.9"
"3916","8.9"
"3908.4","8.9"
"3900.8","8.6"
"3893.1","8.6"
"3885.5","8.3"
"3877.9","7.9"
"3870.2","7.6"
"3862.6","7.3"
"3855","7.3"
"3847.3","7"
"3839.7","7"
"3832.1","7.3"
"3824.4","7.3"
"3816.8","7.3"
"3809.2","7"
"3801.5","6.7"
"3793.9","6.3"
"3786.3","6"
"3778.6","6"
"3771","5.7"
"3763.4","5.7"
"3755.7","5.7"
"3748.1","5.7"
"3740.5","5.4"
"3732.8","5.4"
"3725.2","5.7"
"3717.6","6.3"
"3709.9","7"
"3702.3","7.6"
"3694.7","8.3"
"3687","9.2"
"3679.4","10.2"
"3671.8","10.8"
"3664.1","11.7"
"3656.5","13"
"3648.9","13.7"
"3641.2","14"
"3633.6","14"
"3626","14"
"3618.3","13.7"
"3610.7","13.3"
"3603.1","13"
"3595.4","12.7"
"3587.8","12.7"
"3580.2","13"
"3572.5","13.3"
"3564.9","14"
"3557.3","14.3"
"3549.6","14.3"
"3542","14.3"
"3534.4","14.3"
"3526.7","14"
"3519.1","13.7"
"3511.5","13"
"3503.8","12.4"
"3496.2","11.7"
"3488.6","11.4"
"3480.9","10.8"
"3473.3","10.5"
"3465.6","9.8"
"3458","9.8"
"3450.4","9.8"
"3442.7","9.8"
"3435.1","9.8"
"3427.5","10.8"
"3419.8","13"
"3412.2","19.7"
"3404.6","24.4"
"3396.9","24.8"
"3389.3","21"
"3381.7","14.6"
"3374","11.4"
"3366.4","10.5"
"3358.8","9.5"
"3351.1","9.2"
"3343.5","8.9"
"3335.9","8.9"
"3328.2","8.6"
"3320.6","8.6"
"3313","8.3"
"3305.3","7.9"
"3297.7","7.6"
"3290.1","7.3"
"3282.4","7.6"
"3274.8","7.9"
"3267.2","8.3"
"3259.5","8.9"
"3251.9","9.2"
"3244.3","9.8"
"3236.6","10.2"
"3229","10.8"
"3221.4","11.1"
"3213.7","11.1"
"3206.1","11.1"
"3198.5","11.4"
"3190.8","11.4"
"3183.2","11.7"
"3175.6","11.7"
"3167.9","12.1"
"3160.3","11.7"
"3152.7","11.7"
"3145","11.4"
"3137.4","11.1"
"3129.8","11.1"
"3122.1","11.1"
"3114.5","11.4"
"3106.9","12.1"
"3099.2","12.7"
"3091.6","13.3"
"3084","14"
"3076.3","15.6"
"3068.7","16.5"
"3061.1","17.1"
"3053.4","18.7"
"3045.8","21.6"
"3038.2","24.4"
"3030.5","28.9"
"3022.9","35.9"
"3015.3","45.1"
"3007.6","52.7"
"3000","60"
"2992.4","73"
"2984.7","85.1"
"2977.1","89.2"
"2969.5","89.5"
"2961.8","88.6"
"2954.2","85.1"
"2946.6","80"
"2938.9","77.1"
"2931.3","77.1"
"2923.7","72.7"
"2916","71.1"
"2908.4","72.7"
"2900.8","70.5"
"2893.1","61.6"
"2885.5","65.1"
"2877.9","71.4"
"2870.2","71.7"
"2862.6","65.7"
"2855","52.4"
"2847.3","37.8"
"2839.7","28.9"
"2832.1","24.4"
"2824.4","21.9"
"2816.8","18.4"
"2809.2","17.8"
"2801.5","17.1"
"2793.9","14"
"2786.3","12.1"
"2778.6","12.1"
"2771","11.1"
"2763.4","10.2"
"2755.7","11.4"
"2748.1","12.1"
"2740.5","11.7"
"2732.8","10.2"
"2725.2","12.4"
"2717.6","13.3"
"2709.9","12.7"
"2702.3","10.2"
"2694.7","8.6"
"2687","7.9"
"2679.4","7.6"
"2671.8","7.9"
"2664.1","7.9"
"2656.5","7.9"
"2648.9","7.9"
"2641.2","7.6"
"2633.6","7.3"
"2626","7"
"2618.3","6.7"
"2610.7","6.7"
"2603.1","6.7"
"2595.4","6.7"
"2587.8","6.7"
"2580.2","6.3"
"2572.5","6.3"
"2564.9","6"
"2557.3","6.3"
"2549.6","6.3"
"2542","6.3"
"2534.4","6"
"2526.7","6"
"2519.1","5.7"
"2511.5","5.7"
"2503.8","6.7"
"2496.2","7.6"
"2488.6","8.6"
"2480.9","8.6"
"2473.3","7.6"
"2465.6","6.3"
"2458","6"
"2450.4","5.7"
"2442.7","5.7"
"2435.1","6"
"2427.5","6.3"
"2419.8","7"
"2412.2","7.3"
"2404.6","7.3"
"2396.9","7.3"
"2389.3","7.3"
"2381.7","7"
"2374","7"
"2366.4","7.3"
"2358.8","7.6"
"2351.1","7.9"
"2343.5","8.3"
"2335.9","8.6"
"2328.2","8.9"
"2320.6","9.2"
"2313","9.5"
"2305.3","10.5"
"2297.7","10.8"
"2290.1","10.5"
"2282.4","7.6"
"2274.8","6.3"
"2267.2","5.7"
"2259.5","5.7"
"2251.9","5.4"
"2244.3","5.4"
"2236.6","5.4"
"2229","5.4"
"2221.4","5.4"
"2213.7","5.7"
"2206.1","6"
"2198.5","7.6"
"2190.8","8.3"
"2183.2","7.9"
"2175.6","6.7"
"2167.9","5.7"
"2160.3","5.4"
"2152.7","5.4"
"2145","5.4"
"2137.4","5.4"
"2129.8","5.4"
"2122.1","5.1"
"2114.5","5.4"
"2106.9","6.3"
"2099.2","7"
"2091.6","7.6"
"2084","7.6"
"2076.3","7.6"
"2068.7","7.6"
"2061.1","7.3"
"2053.4","6.7"
"2045.8","6.7"
"2038.2","7"
"2030.5","7.9"
"2022.9","8.3"
